p_id,age,female,ethnicity,grip,chest,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
PLH238,20,1,5,31,25,2,4,4,2,2,3,4,4,2,4,4,4,2,4,2,2
PLH239,20,0,5,42,36,2,2,1,2,4,4,5,3,3,2,1,3,4,4,4,4
PLH240,18,0,5,44,46,2,4,2,4,4,4,2,4,2,5,4,4,2,4,2,1
PLH241,20,0,5,30,38,2,4,2,2,4,4,4,2,2,3,4,4,4,4,4,4
PLH242,21,1,5,30,26,1,4,4,3,5,3,4,5,2,3,2,4,5,4,5,3
PLH243,20,1,5,15,12,3,4,4,2,1,2,2,2,4,2,4,5,4,4,2,2
PLH244,18,1,5,23,19.5,4,4,3,2,4,3,4,4,3,3,4,4,2,4,2,4
PLH245,22,0,5,50,54,2,4,3,2,4,2,3,4,3,3,4,4,2,4,4,4
PLH246,18,1,5,17,12,4,4,4,4,2,2,2,2,4,2,4,4,1,4,2,1
PLH247,19,1,1,21,24,4,4,4,2,2,2,3,3,2,2,4,4,3,4,2,4
PLH248,19,0,4,42,42,2,4,4,3,2,5,2,4,2,5,5,4,4,4,2,2
PLH249,19,0,5,26,22,4,5,1,1,3,1,4,1,2,1,4,4,3,4,2,5
PLH250,19,0,5,44,38,5,3,2,4,2,4,4,4,4,2,4,3,2,4,3,2
PLH251,19,1,5,26,26,2,4,4,3,4,4,4,4,2,4,4,4,2,2,2,2
PLH252,19,0,5,48,46,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PLH253,19,0,5,46,32,1,4,3,2,5,2,4,3,2,2,4,4,2,4,5,5
PLH254,20,0,1,28,22,3,4,3,3,3,2,3,4,4,2,4,4,3,5,5,2
PLH255,22,1,6,20,8,1,5,2,4,2,2,4,4,4,2,4,2,1,2,1,2
PLH256,19,1,5,20.5,22,2,4,4,4,4,3,2,4,2,2,4,4,4,4,2,2
PLH257,19,0,5,18,15,4,5,1,2,1,4,5,4,5,5,5,2,2,5,4,4
PLH258,20,0,5,50,66,2,4,2,2,4,2,4,4,2,2,1,2,2,4,4,4
PLH259,21,0,7,40,24,2,4,3,3,4,3,2,3,2,3,4,5,3,4,4,4
PLH260,19,0,6,34,42,2,4,2,2,4,3,4,3,3,2,2,3,3,4,5,2
PLH261,18,1,5,12,8,2,1,3,2,2,4,2,3,2,3,4,2,2,3,2,2
PLH262,18,1,6,25,26,2,4,4,4,2,4,5,3,4,2,2,4,2,5,4,4
PLH263,18,1,5,17,13,4,5,4,4,1,1,4,5,4,2,2,5,2,5,4,2
PLH264,19,1,5,26.5,21.5,4,5,4,4,2,2,2,5,4,2,4,4,2,4,2,2
PLH265,21,0,5,60,40,2,2,4,3,4,3,4,3,2,3,3,3,4,4,3,3
PLH266,18,1,5,24,21,4,5,4,4,4,1,4,4,1,1,4,4,3,5,2,2
PLH267,19,1,5,15,15,5,5,4,3,4,1,1,4,4,1,5,4,3,5,3,1
PLH268,18,1,5,16.2,12.8,4,4,2,4,2,2,3,4,1,3,2,3,1,4,5,2
PLH269,19,0,5,24,18,4,5,5,5,2,2,1,5,4,2,5,5,2,5,2,1
PLH270,18,0,5,45,42,2,4,4,2,4,4,4,4,2,2,4,4,4,4,4,4
PLH271,18,0,4,36,46,2,4,2,2,4,4,4,3,3,2,4,2,3,4,2,3
PLH272,19,0,5,30,28,2,4,2,4,2,2,3,4,3,3,3,5,1,4,1,1
PLH273,20,1,1,14,16,2,4,4,4,1,2,5,4,4,2,4,4,2,4,2,2
PLH274,18,1,5,21,21,4,4,4,4,2,2,2,4,2,4,4,4,1,5,2,2
PLH275,18,1,5,24,18,4,5,4,4,2,1,2,4,4,1,4,5,1,4,5,1
