p_id,female,age,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
134,1,18,9.02,4,5,4,4,4,4,5,5,5,3,5,5,5,5,5,5
135,0,18,35.23,4,4,5,2,2,4,2,4,5,4,4,4,4,4,2,2
136,0,18,42.45,3,4,3,2,4,2,2,2,3,2,3,4,4,4,2,2
137,1,18,13.05,2,5,3,2,2,5,2,4,3,4,2,4,3,4,1,2
138,1,18,29.55,4,5,2,5,4,5,1,5,4,5,1,5,5,5,1,5
139,0,19,14.32,2,4,3,4,2,5,1,4,4,5,2,5,1,5,1,4
140,1,18,34.77,5,5,3,2,2,5,4,4,4,2,4,5,3,5,1,4
141,1,18,25.77,3,5,4,2,4,5,2,4,4,4,4,4,2,5,4,2
142,1,20,18.18,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5
143,1,18,21.73,5,4,5,5,3,5,4,5,4,3,3,5,5,5,2,5
144,0,18,51.14,4,5,4,4,5,5,5,3,4,4,5,5,4,5,5,5
145,1,18,26.32,5,5,4,5,2,4,2,4,2,4,5,5,4,4,3,5
147,1,19,10.23,5,4,5,5,5,4,3,5,4,5,4,5,4,5,2,3
148,1,38,30.41,4,5,2,5,3,5,2,5,2,4,1,4,3,3,2,5
149,1,18,25.68,5,4,3,1,3,3,2,3,5,5,1,3,2,3,1,2
150,1,19,20.91,4,5,5,4,5,4,5,4,4,1,4,4,5,4,4,5
151,1,18,18.77,3,4,5,3,4,3,3,4,4,4,4,4,2,4,4,4
152,0,20,34.95,3,4,3,2,2,3,2,4,3,4,4,5,2,2,2,2
153,1,NA,20.14,2,4,1,2,5,5,3,5,3,5,4,2,4,2,5,2
154,1,19,28.82,4,5,3,3,4,5,4,3,4,5,4,4,4,5,2,2
155,1,20,24.77,3,5,3,2,5,5,5,2,4,5,5,5,4,5,5,4
156,0,22,38.41,1,5,3,1,3,2,2,4,2,3,4,2,2,4,4,2
157,1,20,27.55,2,4,4,4,2,4,2,5,2,4,4,4,2,5,4,4
158,1,18,22.91,5,5,4,5,5,2,4,5,4,5,5,5,5,5,4,4
159,1,18,19.55,2,4,2,2,3,3,2,5,3,2,2,2,2,2,1,3
160,1,19,23.5,2,3,3,1,2,3,2,4,2,2,4,2,2,3,3,1
161,1,18,28.5,3,4,2,3,4,4,2,3,3,5,4,3,4,4,2,3
162,1,NA,18.77,3,4,4,4,4,5,4,4,4,5,4,4,4,4,5,2
163,1,19,25.45,4,2,1,4,2,2,2,4,2,1,2,5,4,4,4,4
164,1,18,34.64,5,4,4,5,3,4,4,5,2,5,4,5,4,4,4,5
165,1,22,13.02,1,4,1,2,3,4,1,2,2,4,2,2,2,4,2,1
166,1,18,21.82,3,4,4,3,3,4,3,4,4,4,4,4,3,4,3,2
167,1,19,20.05,2,4,5,4,3,4,2,4,4,4,5,4,4,5,5,3
168,1,18,15.45,4,5,4,2,5,5,4,4,5,5,4,NA,5,5,5,5
169,1,21,30.23,2,5,3,4,3,5,3,4,4,4,3,5,3,4,2,4
170,1,21,25.77,3,4,2,4,5,3,2,4,4,3,4,5,4,4,4,3
171,0,19,34.5,5,4,5,4,5,4,4,4,4,1,4,4,2,5,4,2
172,1,18,21.32,2,5,2,2,4,5,3,2,5,5,2,5,4,5,1,5
173,0,18,42.86,4,4,4,2,2,4,4,4,2,2,4,5,4,4,4,4
174,1,18,16,2,4,4,4,2,2,3,4,3,3,5,4,2,3,2,4
175,1,20,30.5,2,4,4,3,2,4,2,3,2,5,2,5,2,4,1,3
176,1,18,19.55,2,5,5,4,2,5,5,4,3,5,5,5,4,5,4,4
177,1,22,38.09,3,4,2,5,4,3,2,2,3,4,4,5,4,4,4,5
178,1,18,21.41,2,5,4,4,4,4,3,4,5,4,4,4,4,5,2,4
179,1,18,25.95,3,5,5,4,4,5,4,3,5,2,5,5,4,4,2,5
180,0,19,37.14,4,4,4,3,3,3,2,4,4,NA,4,4,3,4,4,3
181,0,19,42.86,4,1,2,2,4,3,1,4,4,2,3,3,3,2,2,3
182,0,19,36.77,3,4,3,2,2,3,2,4,4,5,4,4,2,5,2,2
183,1,19,24.91,2,5,4,4,4,4,2,5,4,3,4,4,4,4,4,5
184,0,20,40.23,4,3,3,2,3,3,2,3,4,3,3,2,2,4,2,1
185,1,19,25.45,5,5,4,4,4,5,5,4,3,5,4,4,4,5,4,5
186,1,21,10.27,2,5,4,4,4,4,4,4,4,4,4,4,5,5,4,2
187,1,19,34.05,1,5,1,2,5,2,1,5,5,4,2,2,5,5,1,1
188,0,18,31.82,2,4,4,2,5,2,2,4,4,2,5,4,2,4,1,5
189,1,19,24.18,4,4,1,3,4,4,1,1,5,2,3,3,2,4,1,2
190,0,19,31.05,2,4,3,2,3,3,2,4,2,2,3,4,3,4,2,3
191,0,18,40.91,4,4,4,2,4,2,3,5,4,4,4,2,3,4,2,3
192,0,19,36.09,1,5,5,3,2,5,3,4,4,2,5,5,2,5,5,5
193,1,18,25.32,4,5,4,4,2,5,5,4,2,5,4,5,5,5,4,5
194,0,20,16.59,4,4,3,4,4,4,2,4,4,4,2,4,4,5,4,3
195,1,19,26.09,3,5,2,2,2,3,2,4,4,4,4,5,4,5,3,3
196,1,18,26.68,3,5,5,3,2,4,4,5,3,3,5,5,5,4,4,5
197,1,18,26,4,5,4,4,4,5,4,5,4,5,5,5,3,5,5,5
198,0,18,35.59,2,3,3,2,3,4,2,2,3,3,3,2,3,5,4,2
199,0,19,35.45,4,2,3,2,2,1,2,3,3,2,2,2,2,2,2,2
200,1,19,31.14,3,3,2,1,2,3,2,2,3,3,3,4,2,3,3,2
201,1,20,27.14,4,4,2,5,2,4,2,4,4,2,4,5,4,4,5,5
202,1,18,24.91,4,5,3,4,3,5,4,5,4,2,5,4,4,4,5,5
203,1,18,20.59,4,5,5,3,4,4,5,4,4,5,5,5,5,5,5,5
204,0,19,43.09,4,2,2,2,2,2,2,4,2,3,4,3,2,4,3,2
205,1,NA,20.55,4,4,3,4,3,3,2,4,3,3,3,5,3,3,3,4
