p_id,age,female,ethnicity,grip,hex_5,hex_11,hex_17,hex_23,hex_29,hex_35,hex_41,hex_47,hex_53,hex_59,hex_65,hex_71,hex_77,hex_83,hex_89,hex_95
562,18,0,8,25.06,4,5,3,2,3,1,4,4,4,3,2,3,4,5,4,3
563,18,1,1,24.58,3,5,3,2,3,1,2,3,2,2,4,4,1,4,2,4
564,19,0,1,56.06,3,5,4,1,2,3,3,4,2,4,4,4,1,5,3,2
565,19,1,1,28.49,4,4,2,2,4,2,4,4,2,3,4,4,3,4,2,2
568,18,0,1,36.88,1,4,3,2,3,2,1,3,1,5,2,3,5,5,4,4
570,20,0,6,39.28,4,4,4,2,5,3,3,1,3,2,4,5,3,4,4,4
572,19,0,1,37.85,2,4,4,2,2,4,4,4,2,4,4,4,3,4,4,2
574,20,0,7,35.36,3,2,4,2,5,5,4,5,4,3,4,5,3,4,3,3
576,20,0,5,31.56,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3
578,19,0,1,41.55,2,5,3,4,3,1,3,5,3,1,4,5,1,5,4,3
580,18,0,1,34.35,2,4,2,1,4,2,4,4,3,2,4,3,4,4,5,4
582,24,0,1,37.77,4,2,2,1,4,3,4,2,3,2,4,4,4,2,2,3
584,19,0,1,32.58,1,4,2,2,5,4,5,3,2,5,3,4,4,4,5,3
586,18,0,2,40.68,2,3,2,1,4,4,4,2,2,2,4,2,2,4,4,4
588,18,0,1,30.4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,2,2
590,27,0,1,46.51,1,4,4,1,4,2,5,2,2,4,4,2,4,2,4,5
592,19,0,2,29.41,4,5,5,5,4,1,4,5,5,1,5,5,2,5,5,1
594,18,0,1,33.28,1,1,4,2,4,5,4,2,2,5,4,3,5,5,5,5
596,19,0,1,36.51,1,5,4,5,5,5,5,5,1,1,5,5,4,5,1,2
598,19,0,1,41.81,1,3,2,1,4,5,5,3,2,4,1,2,5,2,5,4
600,29,0,8,32.97,2,3,2,3,3,5,4,2,2,3,4,3,3,3,5,3
602,18,0,1,44.24,3,1,2,2,2,5,4,4,2,4,2,4,2,3,2,2
604,18,0,2,36.32,3,3,3,3,4,3,3,4,2,2,3,4,2,4,3,3
606,18,0,1,41.98,5,5,1,4,4,2,2,4,4,2,4,5,2,5,4,2
610,18,0,5,32.18,2,2,2,2,4,4,5,4,2,4,4,4,2,4,4,2
612,20,0,1,17.77,4,5,4,4,2,1,2,4,4,5,4,3,2,4,5,2
614,19,0,1,45.11,4,4,3,2,2,4,4,4,2,4,4,4,4,4,3,4
