p_id,female,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10,e_dep_1,e_dep_2,e_dep_3,e_dep_4,e_dep_5,e_dep_6,e_dep_7,e_dep_8,e_dep_9,e_dep_10,e_fear_1,e_fear_2,e_fear_3,e_fear_4,e_fear_5,e_fear_6,e_fear_7,e_fear_8,e_fear_9,e_fear_10,e_sen_1,e_sen_2,e_sen_3,e_sen_4,e_sen_5,e_sen_6,e_sen_7,e_sen_8,e_sen_9,e_sen_10
129,0,52,52,7,3,3,5,1,3,1,5,7,3,5,1,5,1,2,5,6,2,7,7,1,3,2,1,2,3,5,5,6,7,7,4,5,6,5,1,2,3,3,2
130,0,50,63,4,6,4,4,2,1,4,3,4,4,2,4,2,4,2,7,4,6,4,4,1,2,1,4,4,4,5,4,5,5,5,3,1,3,6,4,4,1,3,2
131,0,46,42,1,1,2,3,1,7,6,7,6,7,3,5,2,2,1,4,5,3,1,6,4,2,4,2,3,3,5,6,6,6,6,2,2,6,2,6,4,2,1,6
132,0,59,42,2,2,2,4,2,5,4,6,6,5,2,2,3,2,2,4,3,2,3,5,1,2,3,2,2,5,5,5,5,6,4,3,2,4,3,6,5,4,3,4
133,0,40,52,4,6,6,2,5,5,1,3,6,4,4,4,5,4,7,7,5,6,4,6,3,3,5,3,2,3,7,5,7,6,4,4,5,4,3,4,3,2,4,4
134,0,53,70,6,6,6,5,2,2,3,3,6,2,6,4,4,1,4,6,5,6,5,5,1,2,3,2,1,6,6,7,7,7,5,5,5,7,5,2,5,3,2,3
135,0,42,25,5,6,3,5,3,2,4,3,6,5,4,1,2,1,3,1,7,5,5,4,3,4,5,4,4,5,3,4,1,5,5,6,1,4,6,5,7,2,2,7
136,0,56,46,5,6,6,4,4,2,5,6,6,1,4,4,4,6,4,7,5,4,4,6,1,2,5,1,1,4,7,4,6,7,5,2,4,6,5,1,2,1,2,3
137,0,34,32,5,5,5,5,5,6,5,3,6,5,5,3,4,4,4,3,3,3,4,6,4,5,5,3,3,3,4,4,4,5,5,4,2,5,3,6,6,2,3,6
138,0,45,50,6,7,6,7,4,2,7,2,5,3,7,7,6,2,6,2,6,7,5,7,5,5,6,5,1,5,6,5,4,4,7,4,1,7,5,7,1,1,3,4
139,0,33,39,6,7,7,7,6,2,2,2,2,1,7,7,7,7,3,5,7,7,6,7,3,7,7,5,5,2,2,1,4,5,7,7,5,7,7,3,6,1,1,7
